reference,class_id
2013_11_05_08,3.0
2013_11_05_09,4.0
2013_11_05_10,4.0
2013_11_05_11,4.0
2013_11_05_12,4.0
2013_11_05_13,4.0
2013_11_05_14,4.0
2013_11_05_15,3.0
2013_11_05_16,3.0
2013_11_05_17,3.0
2013_11_06_06,3.0
2013_11_06_07,3.0
2013_11_06_08,3.0
2013_11_06_09,3.0
2013_11_06_10,4.0
2013_11_06_11,4.0
2013_11_06_12,4.0
2013_11_06_13,4.0
2013_11_06_14,4.0
2013_11_06_15,4.0
2013_11_06_16,3.0
2013_11_07_06,3.0
2013_11_07_07,3.0
2013_11_07_08,3.0
2013_11_07_09,3.0
2013_11_07_10,4.0
2013_11_07_11,4.0
2013_11_07_12,4.0
2013_11_07_13,4.0
2013_11_07_14,4.0
2013_11_07_15,4.0
2013_11_07_16,4.0
2013_11_07_17,3.0
2013_11_08_06,3.0
2013_11_08_07,3.0
2013_11_08_08,3.0
2013_11_08_09,3.0
2013_11_08_10,3.0
2013_11_08_11,4.0
2013_11_08_12,4.0
2013_11_08_13,4.0
2013_11_08_14,4.0
2013_11_08_15,4.0
2013_11_08_16,4.0
2013_11_09_06,4.0
2013_11_09_07,3.0
2013_11_09_08,3.0
2013_11_09_09,3.0
2013_11_09_10,3.0
2013_11_09_11,3.0
2013_11_09_12,4.0
2013_11_09_13,4.0
2013_11_09_14,4.0
2013_11_09_15,4.0
2013_11_09_16,4.0
2013_11_10_06,4.0
2013_11_10_07,4.0
2013_11_10_08,4.0
2013_11_10_09,3.0
2013_11_10_10,3.0
2013_11_10_11,3.0
2013_11_10_12,3.0
2013_11_10_13,4.0
2013_11_10_14,4.0
2013_11_10_15,4.0
2013_11_10_16,4.0
2013_11_10_17,4.0
2013_11_11_06,4.0
2013_11_11_07,4.0
2013_11_11_08,4.0
2013_11_11_09,4.0
2013_11_11_10,4.0
2013_11_11_11,3.0
2013_11_11_12,3.0
2013_11_11_13,4.0
2013_11_11_14,4.0
2013_11_11_15,4.0
2013_11_11_16,4.0
2013_11_11_17,4.0
2013_11_12_06,4.0
2013_11_12_07,4.0
2013_11_12_08,4.0
2013_11_12_09,4.0
2013_11_12_10,4.0
2013_11_12_11,4.0
2013_11_12_12,3.0
2013_11_12_13,3.0
2013_11_12_14,3.0
2013_11_12_15,4.0
2013_11_12_16,4.0
2013_11_13_06,4.0
2013_11_13_07,4.0
2013_11_13_08,4.0
2013_11_13_09,4.0
2013_11_13_10,4.0
2013_11_13_11,4.0
2013_11_13_12,3.0
2013_11_13_13,3.0
2013_11_13_14,3.0
2013_11_13_15,3.0
2013_11_13_16,3.0
2013_11_13_17,4.0
2013_11_14_06,4.0
2013_11_14_08,4.0
2013_11_14_09,4.0
2013_11_14_10,4.0
2013_11_14_11,4.0
2013_11_14_12,4.0
2013_11_14_13,3.0
2013_11_14_14,3.0
2013_11_14_15,3.0
2013_11_14_16,3.0
2013_11_14_17,3.0
2013_11_15_06,4.0
2013_11_15_07,4.0
2013_11_15_08,4.0
2013_11_15_09,4.0
2013_11_15_10,4.0
2013_11_15_11,4.0
2013_11_15_12,4.0
2013_11_15_13,3.0
2013_11_15_14,3.0
2013_11_15_15,3.0
2013_11_15_16,3.0
2013_11_16_06,3.0
2013_11_16_08,4.0
2013_11_17_06,3.0
2013_11_17_07,3.0
2013_11_17_08,4.0
2013_11_17_09,4.0
2013_11_17_10,4.0
2013_11_17_11,4.0
2013_11_17_12,4.0
2013_11_17_13,4.0
2013_11_17_14,3.0
2013_11_17_15,3.0
2013_11_17_16,3.0
2013_11_17_17,3.0
2013_11_18_06,3.0
2013_11_18_07,3.0
2013_11_18_08,4.0
2013_11_18_09,4.0
2013_11_18_10,4.0
2013_11_18_11,4.0
2013_11_18_12,4.0
2013_11_18_13,4.0
2013_11_18_14,4.0
2013_11_18_15,3.0
2013_11_18_16,3.0
2013_11_18_17,3.0
2013_11_19_06,3.0
2013_11_19_07,3.0
2013_11_19_08,4.0
2013_11_19_09,4.0
2013_11_19_10,4.0
2013_11_19_11,4.0
2013_11_19_12,4.0
2013_11_19_17,3.0
2013_11_20_06,3.0
2013_11_20_07,3.0
2013_11_20_08,3.0
2013_11_20_09,4.0
2013_11_20_10,4.0
2013_11_20_11,4.0
2013_11_20_12,4.0
2013_11_20_13,4.0
2013_11_20_14,4.0
2013_11_20_15,4.0
2013_11_20_16,3.0
2013_11_21_06,3.0
2013_11_21_07,3.0
2013_11_21_08,3.0
2013_11_21_09,4.0
2013_11_21_10,4.0
2013_11_21_11,4.0
2013_11_21_12,4.0
2013_11_21_13,4.0
2013_11_21_14,4.0
2013_11_21_15,4.0
2013_11_21_16,4.0
2013_11_21_17,3.0
2013_11_22_06,3.0
2013_11_22_07,3.0
2013_11_22_08,3.0
2013_11_22_09,3.0
2013_11_22_10,4.0
